YEAR,PLANT,BLOOMDAY,METHOD
1992,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",79,Newspaper archives
1993,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",74,Newspaper archives
1994,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",91,Newspaper archives
1995,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",78,Newspaper archives
1996,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",81,Newspaper archives
1997,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",80,Newspaper archives
1998,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",107,Newspaper archives
1999,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",91,Newspaper archives
2000,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",84,Newspaper archives
2001,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",86,Newspaper archives
2002,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",96,Newspaper archives
2003,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",86,Newspaper archives
2004,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",82,Newspaper archives
2005,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",90,Newspaper archives
2006,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",80,Newspaper archives
2007,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",86,Newspaper archives
2008,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",87,Newspaper archives
2009,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",99,Newspaper archives
2010,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",73,Newspaper archives
2011,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",87,Newspaper archives
2012,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",93,Intensive sampling
2013,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",86,Intensive sampling
2014,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",80,Intensive sampling
2015,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",74,Intensive sampling
2016,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",71,Intensive sampling
2017,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",86,Intensive sampling
2018,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",85,Intensive sampling
2019,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",88,Intensive sampling
2020,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",82,Intensive sampling
2021,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",88,Intensive sampling
2022,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",73,Intensive sampling
2023,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",90,Intensive sampling
2024,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",78,Intensive sampling
2018,"Prunus serrulata, University of Washington",99,Intensive sampling
2019,"Prunus serrulata, University of Washington",92,Intensive sampling
2021,"Prunus serrulata, University of Washington",96,Intensive sampling
2023,"Prunus serrulata, University of Washington",92,Intensive sampling
2024,"Prunus serrulata, University of Washington",82,Intensive sampling
2018,"Prunus serrulata ÔHisakura,Õ University of Washington",99,Intensive sampling
2019,"Prunus serrulata ÔHisakura,Õ University of Washington",95,Intensive sampling
2021,"Prunus serrulata ÔHisakura,Õ University of Washington",104,Intensive sampling
2022,"Prunus serrulata ÔHisakura,Õ University of Washington",97,Intensive sampling
2023,"Prunus serrulata ÔHisakura,Õ University of Washington",94,Intensive sampling
2024,"Prunus serrulata ÔHisakura,Õ University of Washington",82,Intensive sampling
