STATIONID,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/20/63,32.2,17.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/21/63,33.3,13.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/22/63,19.4,12.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/23/63,18.3,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/24/63,17.2,10.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/25/63,18.9,10.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/26/63,21.1,10,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/27/63,21.1,8.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/28/63,25.6,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/29/63,22.8,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/30/63,19.4,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/31/63,20,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/1/63,21.1,11.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/2/63,13.3,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/3/63,17.8,10.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/4/63,12.8,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/5/63,14.4,10,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/6/63,19.4,10.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/7/63,14.4,11.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/8/63,15.6,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/9/63,18.9,10,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/10/63,25,10,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/11/63,21.7,12.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/12/63,20,12.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/13/63,22.8,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/14/63,27.8,12.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/15/63,30,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/16/63,28.3,15,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/17/63,28.3,14.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/18/63,21.7,12.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/19/63,20.6,13.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/20/63,18.9,12.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/21/63,14.4,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/22/63,13.9,10,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/23/63,20.6,12.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/24/63,14.4,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/25/63,17.8,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/26/63,17.8,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/27/63,14.4,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/28/63,17.8,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/29/63,16.7,11.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6/30/63,20,11.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/1/63,23.3,12.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/2/63,23.3,13.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/3/63,24.4,12.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/4/63,23.9,15.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/5/63,25,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/6/63,19.4,13.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/7/63,22.8,13.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/8/63,21.1,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/9/63,20.6,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/10/63,17.8,12.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/11/63,17.2,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/12/63,23.9,14.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/13/63,23.3,13.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/14/63,17.8,14.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/15/63,20.6,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/16/63,23.3,12.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/17/63,23.3,13.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/18/63,23.3,13.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/19/63,22.2,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/20/63,22.8,14.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/21/63,18.9,15,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/22/63,20.6,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/23/63,20.6,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/24/63,18.3,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/25/63,22.2,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/26/63,24.4,12.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/27/63,25,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/28/63,21.1,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/29/63,21.1,12.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/30/63,19.4,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7/31/63,18.3,14.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/1/63,20,12.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/2/63,24.4,12.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/3/63,26.7,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/4/63,23.9,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/5/63,20.6,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/6/63,21.1,14.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/7/63,25,13.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/8/63,29.4,14.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/9/63,22.2,15,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/10/63,25.6,15,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/11/63,23.9,13.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/12/63,25.6,14.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/13/63,20.6,15,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/14/63,23.9,13.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/15/63,23.9,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/16/63,25.6,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/17/63,24.4,12.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/18/63,22.8,13.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/19/63,21.1,14.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8/20/63,23.3,14.4,,,,,,
